,word1,word2,prediction
0,abandon,frost,-0.9947433592751622
1,abandon,railroad,-0.9380834102630615
2,abortion,religion,-0.6685512065887451
3,abstract,candle,-0.7346661686897278
4,abstract,frog,-0.7597418278455734
5,abstract,moon,-0.845161110162735
6,abstract,rally,-0.9221430569887161
7,abuse,abuse,0.0
8,abuse,disorder,-0.6464811861515045
9,accommodate,adjust,-0.5378888249397278
10,accommodation,accommodation,0.0
11,accompany,walking,-0.9559316486120224
12,account,explanation,-0.8154449611902237
13,account,invoice,-0.7003272473812103
14,act,improvement,-0.9344321042299271
15,action,adjustment,-0.6392493844032288
16,action,entrance,-0.9061685428023338
17,activity,solo,-0.9204022437334061
18,activity,variation,-0.8612639158964157
19,actor,amateur,-0.6211561262607574
20,ad,track,-0.9707661289721727
21,add,increased,-0.9041324853897095
22,add,string,-0.8991734012961388
23,addition,segment,-0.8200769126415253
24,admitting,confess,-0.5670424401760101
25,adult,dentist,-0.7964611202478409
26,advance,advance,0.0
27,advance,string,-0.824128270149231
28,advice,recommendation,-0.7441825270652771
29,advised,murder,-0.908519335091114
30,aerial,clown,-0.8437478244304657
31,africa,territory,-0.7519756853580475
32,age,history,-0.8433622717857361
33,agency,police,-0.735977292060852
34,aim,intending,-0.7340661287307739
35,air,cold,-0.6642132699489594
36,air,plasma,-0.7954595983028412
37,air,satellite,-0.8227819800376892
38,aircraft,fleet,-0.4813578128814697
39,aircraft,flight,-0.5789131820201874
40,aircraft,yacht,-0.7051066756248474
41,airplane,plane,-0.4456256031990051
42,ale,bitter,-0.7383720278739929
43,alley,street,-0.5985437333583832
44,aluminum,component,-0.6898005306720734
45,aluminum,imperative,-0.9519055634737015
46,american,lobster,-0.9898769501596689
47,ammunition,intolerable,-0.9576326347887516
48,amount,number,-0.5591893792152405
49,amounted,make,-0.8213335424661636
50,amusement,athletics,-0.8915528208017349
51,amusement,procedure,-0.8707896173000336
52,anatomy,palm,-0.9388118721544743
53,ancient,city,-0.7720894813537598
54,angel,asphalt,-0.8297683447599411
55,angel,pod,-0.9010185748338699
56,angrier,stormy,-0.8932577222585678
57,animal,asia,-0.840721070766449
58,animal,flora,-0.7468444406986237
59,animal,giraffe,-0.6520992517471313
60,animal,mural,-0.8424422293901443
61,animal,wild,-0.6407999694347382
62,animal,worm,-0.7651716768741608
63,animal,zoo,-0.697175532579422
64,anniversary,marriage,-0.8594526201486588
65,answering,counter,-0.8568564206361771
66,anxiety,insecurities,-0.6563561856746674
67,apartment,staircase,-0.6724695265293121
68,appliance,dryer,-0.6368537843227386
69,appreciate,see,-0.6801280975341797
70,approach,avenue,-0.9200629964470863
71,approach,merit,-0.8470952659845352
72,approach,trench,-0.9541572406888008
73,approval,encouragement,-0.6889839172363281
74,approving,interaction,-0.8867068439722061
75,aquarium,coin,-0.8909360989928246
76,arch,brick,-0.5960491299629211
